seed,method,estimate,bias,alpha,beta,propensity_spec,outcome_spec,setting,n,truth
10014,DR,2.1078258718480654,0.10782587184806536,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10014,DR.ofal,2.0604236817852963,0.060423681785296335,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10014,DR.pfal,2.086146345939541,0.08614634593954085,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10014,DR.o&pfal,2.2987368604086997,0.29873686040869973,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10015,IPW,2.123496855561921,0.12349685556192114,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10015,IPW.fal,2.1339417872753876,0.13394178727538764,"[0.0, 2.0]",,false,,B,1000,2.0
10015,OR,2.359406230797773,0.3594062307977728,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10015,OR.fal,0.42022822239392715,-1.579771777606073,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10015,DR,2.365954281962058,0.36595428196205804,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10015,DR.ofal,2.0631667941290903,0.06316679412909032,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10015,DR.pfal,2.3465078055411,0.34650780554109994,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10015,DR.o&pfal,2.804979577088716,0.8049795770887158,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10016,IPW,1.5907751734990985,-0.40922482650090153,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10016,IPW.fal,1.5829633900839886,-0.41703660991601144,"[0.0, 2.0]",,false,,B,1000,2.0
10016,OR,1.827346331013433,-0.17265366898656698,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10016,OR.fal,0.39096153164923225,-1.6090384683507677,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10016,DR,1.7254726102026652,-0.2745273897973348,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10016,DR.ofal,1.6311140151682781,-0.36888598483172186,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10016,DR.pfal,1.759063887290482,-0.24093611270951798,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10016,DR.o&pfal,2.040041719833817,0.04004171983381699,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10017,IPW,2.008770518073742,0.008770518073741851,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10017,IPW.fal,1.3679515283973647,-0.6320484716026353,"[0.0, 2.0]",,false,,B,1000,2.0
10017,OR,1.7814360766978479,-0.21856392330215213,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10017,OR.fal,0.48058710469469995,-1.5194128953053,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10017,DR,1.7539213544577996,-0.24607864554220038,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10017,DR.ofal,1.9896239921447632,-0.010376007855236846,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10017,DR.pfal,1.716492265888153,-0.28350773411184704,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10017,DR.o&pfal,1.8012813345669352,-0.19871866543306482,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10018,IPW,1.8130003971051647,-0.1869996028948353,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10018,IPW.fal,1.6626857882567456,-0.3373142117432544,"[0.0, 2.0]",,false,,B,1000,2.0
10018,OR,1.9496564411910613,-0.050343558808938704,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10018,OR.fal,0.6339973796083077,-1.3660026203916922,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10018,DR,1.9311501544962804,-0.06884984550371964,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10018,DR.ofal,1.7480097845457154,-0.25199021545428457,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10018,DR.pfal,1.8971987356471665,-0.10280126435283354,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10018,DR.o&pfal,2.1636980529930763,0.16369805299307627,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10019,IPW,1.714176607728819,-0.28582339227118103,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10019,IPW.fal,1.696040957005663,-0.30395904299433707,"[0.0, 2.0]",,false,,B,1000,2.0
10019,OR,1.8053997601746685,-0.19460023982533148,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10019,OR.fal,0.31119250527877707,-1.6888074947212228,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10019,DR,1.9224783956242861,-0.07752160437571387,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10019,DR.ofal,1.7296810736711123,-0.27031892632888765,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10019,DR.pfal,1.937037934411276,-0.06296206558872397,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10019,DR.o&pfal,2.2884350719561115,0.2884350719561115,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10020,IPW,2.219791906014966,0.219791906014966,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10020,IPW.fal,1.93655626251601,-0.06344373748399001,"[0.0, 2.0]",,false,,B,1000,2.0
10020,OR,2.0281044887695434,0.028104488769543412,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10020,OR.fal,0.5132134346008825,-1.4867865653991175,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10020,DR,2.1296198994590427,0.12961989945904273,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10020,DR.ofal,2.1546715779201993,0.15467157792019925,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10020,DR.pfal,2.151690671080562,0.1516906710805621,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10020,DR.o&pfal,2.414044372771906,0.41404437277190587,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10021,IPW,2.050863109832694,0.05086310983269415,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10021,IPW.fal,2.0947161162496926,0.09471611624969256,"[0.0, 2.0]",,false,,B,1000,2.0
10021,OR,2.0458035915734865,0.04580359157348646,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10021,OR.fal,0.3169382434346136,-1.6830617565653865,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10021,DR,2.0537260603034095,0.05372606030340954,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10021,DR.ofal,2.022100132480412,0.022100132480411983,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10021,DR.pfal,1.9790989082380344,-0.02090109176196564,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10021,DR.o&pfal,2.4066302090050575,0.40663020900505753,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10022,IPW,1.534576894162453,-0.4654231058375471,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10022,IPW.fal,1.2013032622702402,-0.7986967377297598,"[0.0, 2.0]",,false,,B,1000,2.0
10022,OR,1.6782649893078074,-0.32173501069219257,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10022,OR.fal,0.002387473050172571,-1.9976125269498275,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10022,DR,1.6652093613884373,-0.33479063861156266,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
