seed,method,estimate,bias,alpha,beta,propensity_spec,outcome_spec,setting,n,truth,truth_key
10,DR.ofal,0.4749801730644749,-0.5250198269355251,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
10,DR.pfal,0.7756033517671467,-0.22439664823285332,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
10,DR.o&pfal,-0.01598288583378685,-1.015982885833787,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
11,IPW,0.674997844403064,-0.325002155596936,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
11,IPW.fal,0.31396478887011614,-0.6860352111298839,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
11,OR,0.9118587784048036,-0.08814122159519644,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
11,OR.fal,0.39100844982179717,-0.6089915501782028,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
11,DR,0.9040477976682741,-0.09595220233172586,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
11,DR.ofal,0.64455257885957,-0.35544742114043004,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
11,DR.pfal,0.9183720148141783,-0.0816279851858217,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
11,DR.o&pfal,0.3507355455408921,-0.649264454459108,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
12,IPW,0.8878511418806959,-0.11214885811930408,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
12,IPW.fal,0.5021300048980838,-0.4978699951019162,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
12,OR,1.0817005268025606,0.08170052680256057,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
12,OR.fal,0.7216375721497802,-0.2783624278502198,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
12,DR,1.086946463504944,0.08694646350494395,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
12,DR.ofal,0.8863422984396222,-0.1136577015603778,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
12,DR.pfal,1.0679296093965995,0.06792960939659953,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
12,DR.o&pfal,0.6636928770572058,-0.3363071229427942,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
13,IPW,1.1236526638023974,0.12365266380239737,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
13,IPW.fal,0.6030150130191614,-0.3969849869808386,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
13,OR,1.094045663277714,0.09404566327771402,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
13,OR.fal,0.8611504485423286,-0.13884955145767142,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
13,DR,1.100088883423077,0.10008888342307709,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
13,DR.ofal,1.1139548325022188,0.11395483250221883,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
13,DR.pfal,1.101259907242445,0.10125990724244494,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
13,DR.o&pfal,0.8036627698700775,-0.19633723012992255,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
14,IPW,1.0402346703428953,0.040234670342895296,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
14,IPW.fal,0.2654784580025069,-0.7345215419974931,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
14,OR,0.9435388379954699,-0.05646116200453011,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
14,OR.fal,0.4864983415158722,-0.5135016584841279,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
14,DR,0.9495602315570328,-0.05043976844296716,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
14,DR.ofal,1.012654147782966,0.01265414778296603,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
14,DR.pfal,0.912835250366149,-0.08716474963385101,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
14,DR.o&pfal,0.36829748772572646,-0.6317025122742735,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
15,IPW,0.8180306506931467,-0.18196934930685327,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
15,IPW.fal,0.5422370367766347,-0.4577629632233653,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
15,OR,0.9865317600875645,-0.013468239912435509,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
15,OR.fal,0.7675320418596315,-0.23246795814036847,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
15,DR,1.010826888455012,0.010826888455012007,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
15,DR.ofal,0.8296780980948447,-0.17032190190515528,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
15,DR.pfal,0.9805461871055713,-0.019453812894428713,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
15,DR.o&pfal,0.6955366738553621,-0.3044633261446379,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
16,IPW,1.159314921121136,0.159314921121136,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
16,IPW.fal,0.43562842806789787,-0.5643715719321021,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
16,OR,1.0346695588608037,0.034669558860803695,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
16,OR.fal,0.6312519859181628,-0.3687480140818372,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
